Year,Fixed_Date_Format,Month,Fixed_Month,Number_of_Typhoons,ONI,ONI_Category,Nino3.4_SST_anomaly,Western_Pacific_SST,Correl_SST_TyphoonNum,Vertical_Wind_Shear,Midlevel_Humidity,SeaLevelPressure,MJO_Phase,Prev_month_typhoons
2014,1/1/2014,1,January,1,0.03,Neutral,-0.05,0.36,-0.016885241,13.2,54.8,1009.8,0,0
2014,2/1/2014,2,February,0,0.2,Neutral,0.18,-0.43,-0.015529771,13.8,59.5,1009.5,7,1
2014,3/1/2014,3,March,0,0.02,Neutral,0,0.01,-0.027274052,13,49.3,1009.4,6,0
2014,4/1/2014,4,April,0,0.13,Neutral,0.07,-0.15,-0.029906936,10.7,57.8,1008.2,0,0
2014,5/1/2014,5,May,0,-0.03,Neutral,-0.05,-0.41,-0.036073633,11.1,61.4,1008.1,3,0
2014,6/1/2014,6,June,3,0.19,Neutral,0.12,0.02,-0.04837704,8,69.6,1006.3,1,0
2014,7/1/2014,7,July,3,0.17,Neutral,0.13,0.55,-0.045860626,9,70.4,1006.4,8,3
2014,8/1/2014,8,August,2,0.12,Neutral,0.05,0.13,-0.055949966,8,70,1005.2,5,3
2014,9/1/2014,9,September,2,-0.11,Neutral,-0.05,0.33,-0.055928916,6.9,73.1,1004.7,3,2
2014,10/1/2014,10,October,4,-0.01,Neutral,0.07,-0.32,-0.057697609,9.4,60.7,1004.6,8,2
2014,11/1/2014,11,November,1,-0.01,Neutral,0.04,-0.27,-0.040698114,10.4,63.3,1009.5,1,4
2014,12/1/2014,12,December,0,0.06,Neutral,0.08,-0.09,-0.043560243,11.8,61.4,1011.1,5,1
2015,1/1/2015,1,January,0,1.52,El Niño,1.55,-0.08,-0.048911403,11.9,60.4,1009.2,3,0
2015,2/1/2015,2,February,1,1.4,El Niño,1.46,0.55,-0.05417767,12.3,58.1,1009.6,3,0
2015,3/1/2015,3,March,0,1.48,El Niño,1.41,0.16,-0.051722391,12.9,53.3,1010.1,5,1
2015,4/1/2015,4,April,0,1.57,El Niño,1.63,0,-0.051487644,9.4,58,1006.9,3,0
2015,5/1/2015,5,May,1,1.61,El Niño,1.54,-0.37,-0.05499803,11.4,61,1007.6,3,0
2015,6/1/2015,6,June,0,1.68,El Niño,1.61,0.56,-0.059418148,8.3,67.9,1007,8,1
2015,7/1/2015,7,July,0,1.46,El Niño,1.41,0.03,-0.05014174,7.5,71.9,1005.6,8,0
